Type,Force,Category,Price per item (GBP),Number of items,Purchase date,Additional information
Services,./west-mercia.csv,Ream of 500 sheets of white paper,2.44,250.0,2016-02-16,"Information provided for bulk purchase order for Headquarters site including print room, ordered from specialist paper supplier with capability to service bulk ordering and specialist range. The force also orders for local delivery direct from stationery supplier. £11.50 per box of 5 reams or £2.30 per ream."
Services,./west-mercia.csv,Telephone interpreting inc. recording services (per minute),0.80,7031.0,2016-01-31,"Consolidated orders raised for estimated purchases over elapsed time, not for individual purchases. Rate not order dependent. The force is awaiting the outcome of current framework exercises to inform future strategy."
Services,./west-mercia.csv,Face-to-face interpreting for 4 hours (half-day),135.32,4.0,2016-01-29,Information on volumes based on the latest purchase. Only an hourly rate is charged. The force alliance uses National local translators from the Register of Public Service Interpreters. Payments are made against individual claims. The representative weekday rate quoted is £33.83 per hour - entry is therefore 2hrs at £33.83. The force is awaiting the outcome of new procurement framework to inform its future strategy.
Services,./west-mercia.csv,Standard office cleaning (force average per m2 per year),8.57,93082.0,,"Cleaning cost per m2 is dependent on building design, floor surface, percentages and total cleaned area. Facilities Management services for the force are managed and provided through Place Partnership Ltd, a local authority joint venture company who are the contracting body. They have provided comparator information from the National Police Estates Group benchmarking survey which quotes Qualifying Cost (GIA) per m2."
Services,./west-mercia.csv,"Gas supply to force headquarters (in £, based on cost in p per kWh)",0.0192,320947.0,2016-01-11,"Facilities Management services for the force are managed and provided through Place Partnership Ltd, a local authority joint venture company who are the contracting body. They use Crown Commercial Service frameworks for the provision of energy services to the force."
Services,./west-mercia.csv,Laptop purchase,788.00,10.0,2016-02-15,"Force alliance standard specifications laptop except RAM and warranty - 4GB RAM, 3 yr warranty. Joint ICT department purchase for both West Mercia and Warwickshire Police. The most recent purchases have been made under West Mercia orders."
Services,./west-mercia.csv,Desktop purchase,453.00,30.0,2016-02-29,Force alliance medium specifications except RAM - 4GB RAM. Joint ICT department purchase for West Mercia and Warwickshire – most recent purchases have been under West Mercia orders.
Services,./west-mercia.csv,"PC monitor - 19"" or smaller (inc. cables)",,,,The force alliance does not purchase monitors of this size.
Services,./west-mercia.csv,"PC monitor - 21"" or wider (inc. cables)",79.95,1000.0,2016-02-15,Prices increase for smaller quantities.
Services,./west-mercia.csv,Telephone call charges (per minute),0.0065,,2016-01-17,West Mercia Police plans to enter a joint contract with Warwickshire Police on a single network.
Services,./essex.csv,DNA test,,,,Information not provided.
Services,./essex.csv,Toxicology test,25.33,1.0,2016-02-01,
Services,./essex.csv,Mobile phone examination,,,,Service provided in-house.
Services,./essex.csv,Forensic stain analysis,126.00,1.0,2016-01-01,
Services,./essex.csv,Credit report or search,4.25,1.0,2016-02-01,Information provided for vetting - personal reports.
Services,./essex.csv,Temporary staff administrator role,8.06,,2016-02-01,Volume information not provided.
Services,./essex.csv,one-day car hire,21.20,1.0,2016-02-01,
Services,./essex.csv,30-day car hire,,,,The force has never hired a car for 30 days.
Services,./essex.csv,Ream of 500 sheets of white paper,2.03,10.0,2016-02-01,Information provided not comparable with data requested.
Services,./essex.csv,Telephone interpreting inc. recording services (per minute),0.68,,,Information on volumes not provided.
Services,./essex.csv,Face-to-face interpreting for 4 hours (half-day),86.40,4.0,2016-02-01,
Services,./essex.csv,Standard office cleaning (force average per m2 per year),13.41,,,Information on volumes not provided.
Services,./essex.csv,"Gas supply to force headquarters (in £, based on cost in p per kWh)",0.03,,,Information on volumes not provided.
Services,./essex.csv,Laptop purchase,542.76,350.0,2015-02-12,
Services,./essex.csv,Desktop purchase,389.80,150.0,2015-02-12,
Services,./essex.csv,"PC monitor - 19"" or smaller (inc. cables)",95.40,500.0,2015-02-15,
Services,./essex.csv,"PC monitor - 21"" or wider (inc. cables)",,,,The force does not purchase monitors of this size.
Services,./essex.csv,Telephone call charges (per minute),,,,The force uses an Internet Protocol based service.
Services,./suffolk.csv,DNA test,14.50,1.0,2016-01-31,This item is purchased on a monthly consolidated invoice and the price does not vary as it is based on volumes from the mini competition.
Services,./suffolk.csv,Toxicology test,28.00,1.0,2016-01-31,This item is purchased with a monthly consolidated invoice and the price does not vary as it is based on volumes from the mini competition.
Services,./suffolk.csv,Mobile phone examination,,,,Service provided in-house. There are no records on the system for an external purchase as the High Tech Crime Unit has been used. Our standard rate with an outsourcer would be £75 if using the standard item code for comparison.
Services,./suffolk.csv,Forensic stain analysis,118.30,1.0,2016-02-01,This item is purchased on a monthly consolidated invoice and the price does not vary as it is based on volumes from the mini competition.
Services,./suffolk.csv,Credit report or search,4.25,10894.0,2015-10-01,Average unit price provided. Contract based on historic volume. The forces contracts a bulk purchase of all types of this item at the same price.
Services,./suffolk.csv,Temporary staff administrator role,11.70,37.0,2015-12-18,
Services,./suffolk.csv,one-day car hire,19.56,1.0,2016-02-11,"Flat rate for 24 hours with no delivery fee or early on / late off surcharge. There are reduced rates for longer hire periods from two days onwards. The force would normally hire a smaller car than requested for comparison, at £16.11 per day."
Services,./suffolk.csv,30-day car hire,12.64,30.0,2015-07-08,"Flat rate for 24 hours with no delivery fee or early on / late off surcharge. There are reduced rates for longer hire periods. The force would normally hire a smaller car at £10.50 per day, than description requested for comparison."
Services,./suffolk.csv,Ream of 500 sheets of white paper,1.62,125.0,2016-02-09,80gsm; with next day delivery as standard.
Services,./suffolk.csv,Telephone interpreting inc. recording services (per minute),0.70,36.0,2016-01-08,
Services,./suffolk.csv,Face-to-face interpreting for 4 hours (half-day),93.75,4.0,2015-12-08,Rate includes initial booking fee.
Services,./suffolk.csv,Standard office cleaning (force average per m2 per year),13.81,1.0,2016-01-31,"The force-supplier's charging model is not on a per m2 basis and so the price given has been calculated, not contracted, which (1) includes all sites cleaned under the facilities management contract; window cleaning and consumables; and (2) excludes some areas and sites; landlord service charges e.g. fire stations; reactive cleaning e.g. medical centre and operational vehicle cleaning; one-off work such as carpet cleaning."
Services,./suffolk.csv,"Gas supply to force headquarters (in £, based on cost in p per kWh)",0.0191,2060865.0,2015-10-01,
Services,./suffolk.csv,Laptop purchase,807.66,20.0,2016-02-01,"Standard specifications; including pre loaded software; 5-year support; 256GB SSD; 3 cell battery, no touchscreen."
Services,./suffolk.csv,Desktop purchase,531.30,150.0,2016-01-25,Mixed specifications; pre loaded software; 5 year support; i7; 8GB RAM; 500GB HDD
Services,./suffolk.csv,"PC monitor - 19"" or smaller (inc. cables)",104.94,50.0,2015-09-24,
Services,./suffolk.csv,"PC monitor - 21"" or wider (inc. cables)",95.95,100.0,2016-02-09,
Services,./suffolk.csv,Telephone call charges (per minute),0.01,11.0,2016-01-31,Majority of calls are now VOIP incurring no additional costs.
Services,./kent.csv,DNA test,,,,Information not provided.
Services,./kent.csv,Toxicology test,25.33,1.0,2016-02-01,
Services,./kent.csv,Mobile phone examination,,,,Service provided in-house.
Services,./kent.csv,Forensic stain analysis,126.00,1.0,2016-01-01,
Services,./kent.csv,Credit report or search,4.25,1.0,2016-02-01,Information provided for vetting - personal reports.
Services,./kent.csv,Temporary staff administrator role,8.06,1.0,2016-02-01,
Services,./kent.csv,one-day car hire,21.20,1.0,2016-02-01,
Services,./kent.csv,30-day car hire,,,,The force has never booked a 30-day car hire.
Services,./kent.csv,Ream of 500 sheets of white paper,2.03,20.0,2016-02-01,Information provided not comparable with data requested.
Services,./kent.csv,Telephone interpreting inc. recording services (per minute),0.68,,2016-02-01,Information on volumes not provided.
Services,./kent.csv,Face-to-face interpreting for 4 hours (half-day),86.40,4.0,2016-02-01,
Services,./kent.csv,Standard office cleaning (force average per m2 per year),12.37,,2016-02-01,Information on volumes not provided.
Services,./kent.csv,"Gas supply to force headquarters (in £, based on cost in p per kWh)",0.03,,,Information on volumes not provided.
Services,./kent.csv,Laptop purchase,542.76,490.0,2016-02-12,
Services,./kent.csv,Desktop purchase,389.80,450.0,2015-02-12,
Services,./kent.csv,"PC monitor - 19"" or smaller (inc. cables)",95.40,300.0,2015-02-15,
Services,./kent.csv,"PC monitor - 21"" or wider (inc. cables)",94.21,12.0,2016-02-05,
Services,./kent.csv,Telephone call charges (per minute),,,,The force uses an Internet Protocol based service.
Services,./sussex.csv,DNA test,18.21,1.0,2016-01-15,No information on volumes.
Services,./sussex.csv,Toxicology test,25.33,1.0,2016-02-15,Volume information not provided.
Services,./sussex.csv,Mobile phone examination,150.00,1.0,2016-02-01,Information provided for level 2 sim card and handset standard examination (14 days). Fixed price for standard examination regardless of volumes.
Services,./sussex.csv,Forensic stain analysis,100.00,1.0,2016-02-15,Information on volumes not provided.
Services,./sussex.csv,Credit report or search,1.35,1.0,2015-11-01,Volume information not provided.
Services,./sussex.csv,Temporary staff administrator role,12.75,18.0,2016-02-01,General administrator costs.
Services,./sussex.csv,one-day car hire,19.79,1.0,2015-12-01, Rate excludes £2.50 collection / delivery charge each way.
Services,./sussex.csv,30-day car hire,12.25,30.0,2015-12-01,
Services,./sussex.csv,Ream of 500 sheets of white paper,2.37,375.0,2016-02-01,Basic paper 75g - 75 boxes of 5 reams - £11.85 per box.
Services,./sussex.csv,Telephone interpreting inc. recording services (per minute),0.68,,2016-02-01,Flat rate interpretation charge per minute. Information on volumes not provided.
Services,./sussex.csv,Face-to-face interpreting for 4 hours (half-day),120.00,2.0,2016-02-01,Add £23.00 booking fee per assignment. Information provided for 4 hours as daily minimum payment for 2 hours.
Services,./sussex.csv,Standard office cleaning (force average per m2 per year),10.19,68829.0,2016-02-01,"Cost information provided for standard cleaning excluding any special cleans, estimated by dividing the total cost by the site surface area so may not be totally accurate. Total surface area: 68,829m2."
Services,./sussex.csv,"Gas supply to force headquarters (in £, based on cost in p per kWh)",0.0198,1808723.0,2016-01-31,Information on volumes based on annual consumption.
Services,./sussex.csv,Laptop purchase,465.88,60.0,2016-01-12,Standard specifications HP640 G1.
Services,./sussex.csv,Desktop purchase,,50.0,2015-09-15,The force most recently purchased 50 refurbished desktop PCs - at £99 per unit - not comparable with other forces' purchases.
Services,./sussex.csv,"PC monitor - 19"" or smaller (inc. cables)",,,,Monitors of this size are not ordered by the force.
Services,./sussex.csv,"PC monitor - 21"" or wider (inc. cables)",123.05,10.0,2015-05-08,"Standard Samsung S243450F. The force does not purchase monitors of this size. Information provided for purchases of monitors size 24""."
Services,./sussex.csv,Telephone call charges (per minute),,,,For telephone call charges the force has been on an Internet Protocol based system for the last 2 years so call charges are not available.
Services,./leicestershire.csv,DNA test,19.40,1.0,2016-01-31,Information provided for the force's equivalent under the National Forensics Framework code 07BFA1. Volume information on the most recent purchase is not available. Derbyshire Constabulary is the lead force from our collaborative forensic services.
Services,./leicestershire.csv,Toxicology test,27.65,1.0,2016-01-31,The code for the force's equivalent item for comparison under the National Forensics Framework is 01TOXA1. Volume information not provided. Derbyshire Constabulary is the lead force from the force's collaborative forensic services.
Services,./leicestershire.csv,Mobile phone examination,,,,These services are provided by in-house staff.
Services,./leicestershire.csv,Forensic stain analysis,118.50,1.0,2016-01-31,"There is no direct match for the described item used by this force under the National Forensics Framework. Information provided for the closest equivalent item code 10BFA1 used by the force, which is for DNA profiling only, after an examination has taken place (however, this does not appear as an option for crime stains) although 22BF applies to both intelligence and casework stains so is also part of code 01BF purchased from the supplier for £118.50, and code 02BF for £165.00."
Services,./leicestershire.csv,Credit report or search,1.10,2024.0,2016-01-31,"Information provided for staff vetting: volume shown is contracted annually. Crime management / supplier evaluation credit reports cost £4.25 each for annual contracted volumes of 11,731. In January 2016 the force used 2,234 reports from the total contracted allowance but there is no breakdown of this volume. Contract is invoiced via an annual licence based on estimated usage, with extra usage billed at end of year."
Services,./leicestershire.csv,Temporary staff administrator role,8.98,,2016-01-31,Information on volumes not provided.
Services,./leicestershire.csv,one-day car hire,24.24,1.0,2016-01-31,Price includes delivery and collection fees of £2.50 each way.
Services,./leicestershire.csv,30-day car hire,16.78,30.0,2016-01-31,"Price includes delivery and collection fees. Volume shown is indicative, as the force hires more than one vehicle at a time."
Services,./leicestershire.csv,Ream of 500 sheets of white paper,1.93,50.0,2016-01-31,
Services,./leicestershire.csv,Telephone interpreting inc. recording services (per minute),0.68,,,
Services,./leicestershire.csv,Face-to-face interpreting for 4 hours (half-day),151.40,4.0,2016-01-31,Please note the costs include travel and other expenses - which cannot be extracted from total costs.
Services,./leicestershire.csv,Standard office cleaning (force average per m2 per year),,,,"Information provided not comparable with requested data. In-house cleaning and security manager determines how many cleaning hours are needed at each site and location, not based on m2 but on specific usage of the site. Contract tendering is decided on this basis."
Services,./leicestershire.csv,"Gas supply to force headquarters (in £, based on cost in p per kWh)",0.0188,,2016-01-31,
Services,./leicestershire.csv,Laptop purchase,761.00,100.0,2016-01-01,Local specifications.
Services,./leicestershire.csv,Desktop purchase,452.02,50.0,2015-11-01,Local specifications.
Services,./leicestershire.csv,"PC monitor - 19"" or smaller (inc. cables)",109.95,8.0,2015-12-01,
Services,./leicestershire.csv,"PC monitor - 21"" or wider (inc. cables)",,,,The force does not purchase monitors of this size.
Services,./leicestershire.csv,Telephone call charges (per minute),0.01,,2016-01-31,Information on volumes not provided.
Services,./devon-and-cornwall.csv,DNA test,22.50,5475.0,2016-02-22,
Services,./devon-and-cornwall.csv,Toxicology test,28.15,222.0,2016-02-22,
Services,./devon-and-cornwall.csv,Mobile phone examination,285.00,1.0,2015-11-16,The force has recently completed a regional tender for this service.
Services,./devon-and-cornwall.csv,Forensic stain analysis,110.00,1.0,2016-02-24,"The force has provided information for starting point 2 of the item described, as it does not use starting point 1."
Services,./devon-and-cornwall.csv,Credit report or search,1.10,1.0,2016-02-23,
Services,./devon-and-cornwall.csv,Temporary staff administrator role,12.21,3429.5,2016-02-26,"Regional mini-competition under the collaborative framework has now been awarded, with the new contract to commence in April 2016."
Services,./devon-and-cornwall.csv,one-day car hire,19.79,1.0,2016-02-23,Rate excludes £2.50 collection / delivery charge each way.
Services,./devon-and-cornwall.csv,30-day car hire,12.25,30.0,2015-11-22,
Services,./devon-and-cornwall.csv,Ream of 500 sheets of white paper,1.90,25.0,2016-02-17,"Budget copier caper, 75g A4 white. A new national mini competition has just been competed for office supplies under the Crown Commercial Service framework RM3703, and the force will be moving to this contract in June 2016."
Services,./devon-and-cornwall.csv,Telephone interpreting inc. recording services (per minute),0.68,45.0,2016-02-22,
Services,./devon-and-cornwall.csv,Face-to-face interpreting for 4 hours (half-day),120.00,4.0,2016-02-22,A registered list of translators from the National Register of Public Service Interpreters are used.
Services,./devon-and-cornwall.csv,Standard office cleaning (force average per m2 per year),14.82,104996.0,2015-04-01,"Price provided is per m2 per annum, or £0.057 per m2 per day."
Services,./devon-and-cornwall.csv,"Gas supply to force headquarters (in £, based on cost in p per kWh)",0.0164,2023148.0,2016-01-01,Information on volumes based on annual consumption.
Services,./devon-and-cornwall.csv,Laptop purchase,640.00,10.0,2016-02-18,Standard specifications laptops purchased through the Devon & Cornwall IT managed services contract.
Services,./devon-and-cornwall.csv,Desktop purchase,430.00,400.0,2016-02-18,Medium specifications desktops purchased through the Devon & Cornwall IT managed services contract.
Services,./devon-and-cornwall.csv,"PC monitor - 19"" or smaller (inc. cables)",,,,"The force does not purchase this size of monitors, only 22"". "
Services,./devon-and-cornwall.csv,"PC monitor - 21"" or wider (inc. cables)",87.72,18.0,2016-02-11,"The force does not purchase monitors of this size. Purchases are made through the IT managed services contract. The force's standard size is 22""."
Services,./devon-and-cornwall.csv,Telephone call charges (per minute),0.0049,2100000.0,2016-01-01,Annual volume.
Services,./gwent.csv,DNA test,17.00,1.0,2016-01-28,Single item purchase. Information not based on a multiple DNA test invoice.
Services,./gwent.csv,Toxicology test,28.15,1.0,2016-01-04,Single item purchase. Information not based on a multiple toxicology test invoice.
Services,./gwent.csv,Mobile phone examination,360.00,,,Service not purchased by the force in the last 3 years. In-house service provision.
Services,./gwent.csv,Forensic stain analysis,87.30,1.0,2015-12-23,Single item purchase.
Services,./gwent.csv,Credit report or search,4.25,4000.0,2016-01-15,"The force pre-pays for 4,000 searches. The rate is per record for a range of services."
Services,./gwent.csv,Temporary staff administrator role,12.96,13.5,2016-02-12,
Services,./gwent.csv,one-day car hire,24.15,1.0,2014-11-28,The force has not hired a car since 2014.
Services,./gwent.csv,30-day car hire,17.18,30.0,2014-10-02,The force has not hired a car since 2014.
Services,./gwent.csv,Ream of 500 sheets of white paper,1.58,150.0,2015-12-21,
Services,./gwent.csv,Telephone interpreting inc. recording services (per minute),0.68,,,The service is secured via the Wales Interpretation and Translation Service.
Services,./gwent.csv,Face-to-face interpreting for 4 hours (half-day),120.00,4.0,2016-02-04,The Wales Interpretation and Translation Service used is a regional public service partnership between 21 organisations in Wales.
Services,./gwent.csv,Standard office cleaning (force average per m2 per year),15.65,,2015-12-01,"A breakdown of the total surface charge for each site in the force has not been provided. Information provided on the basis of supply of all necessary labour, plant and materials for cleaning services for the month of December 2015."
Services,./gwent.csv,"Gas supply to force headquarters (in £, based on cost in p per kWh)",0.0188,3474.0,2016-02-09,
Services,./gwent.csv,Laptop purchase,329.56,1.0,2016-02-23,The force uses a Shared Resource Service collaborative arrangement for the provision of ICT services with three local public sector organisations.
Services,./gwent.csv,Desktop purchase,344.02,1.0,2015-05-19,The force uses a Shared Resource Service collaborative arrangement for the provision of ICT services with three local public sector organisations.
Services,./gwent.csv,"PC monitor - 19"" or smaller (inc. cables)",82.11,1.0,2016-01-19,"The force uses a Shared Resource Service collaborative arrangement for the provision of ICT services with three local public sector organisations. The force does not purchase this size of monitors, only 20""."
Services,./gwent.csv,"PC monitor - 21"" or wider (inc. cables)",,,,"The force does not purchase monitors of this size. Information provided for purchases of monitors size 20""."
Services,./gwent.csv,Telephone call charges (per minute),0.02,158673.0,2016-01-11,Estimated volume shown based on last invoice for total time 2644:33:19.
Services,./norfolk.csv,DNA test,14.50,1.0,2016-01-31,This item is purchased with a monthly consolidated invoice and the price does not vary as it is based on volumes from the mini competition.
Services,./norfolk.csv,Toxicology test,28.00,1.0,2016-01-31,This item is purchased with a monthly consolidated invoice and the price does not vary as it is based on volumes from the mini competition.
Services,./norfolk.csv,Mobile phone examination,95.00,3.0,2016-02-01,
Services,./norfolk.csv,Forensic stain analysis,118.30,1.0,2016-02-01,This item is purchased with a monthly consolidated invoice and the price does not vary as it is based on volumes from the mini competition.
Services,./norfolk.csv,Credit report or search,4.25,5632.0,2015-10-01,Average unit price provided. Contract based on historic volume. The forces contracts a bulk purchase of all types of this item at the same price.
Services,./norfolk.csv,Temporary staff administrator role,9.03,37.0,2016-03-07,
Services,./norfolk.csv,one-day car hire,19.56,1.0,2016-01-05,"Flat rate for 24 hours with no delivery fee or early on / late off surcharge. There are reduced rates for longer hire periods from two days onwards. The force would normally hire a smaller car than requested for comparison, at £16.11 per day."
Services,./norfolk.csv,30-day car hire,12.64,30.0,2015-07-08,"Flat rate for 24 hours with no delivery fee or early on / late off surcharge. There are reduced rates for longer hire periods. The force would normally hire a smaller car at £10.50 per day, than description requested for comparison."
Services,./norfolk.csv,Ream of 500 sheets of white paper,1.62,125.0,2016-02-09,80gsm; with next day delivery as standard.
Services,./norfolk.csv,Telephone interpreting inc. recording services (per minute),0.70,41.0,2016-02-05,
Services,./norfolk.csv,Face-to-face interpreting for 4 hours (half-day),93.75,4.0,2016-02-04,Rate includes initial booking fee.
Services,./norfolk.csv,Standard office cleaning (force average per m2 per year),13.81,1.0,2016-01-31,"The force-supplier's charging model is not on a per m2 basis and so the price given has been calculated, not contracted, which (1) includes all sites cleaned under the facilities management contract; window cleaning and consumables; and (2) excludes some areas and sites; landlord service charges e.g. fire stations; reactive cleaning e.g. medical centre and operational vehicle cleaning; one-off work such as carpet cleaning."
Services,./norfolk.csv,"Gas supply to force headquarters (in £, based on cost in p per kWh)",0.019,2804410.0,2015-10-01,
Services,./norfolk.csv,Laptop purchase,807.66,20.0,2016-02-01,"Standard specifications; including pre loaded software; 5-year support; 256GB SSD; 3 cell battery, no touchscreen."
Services,./norfolk.csv,Desktop purchase,531.30,150.0,2016-01-25,Mixed specifications; pre loaded software; 5 year support; i7; 8GB RAM; 500GB HDD
Services,./norfolk.csv,"PC monitor - 19"" or smaller (inc. cables)",104.94,50.0,2015-09-24,
Services,./norfolk.csv,"PC monitor - 21"" or wider (inc. cables)",95.95,100.0,2016-02-09,
Services,./norfolk.csv,Telephone call charges (per minute),0.01,11.0,2016-01-31,Majority of calls are now VOIP incurring no additional costs.
Services,./greater-manchester.csv,DNA test,17.00,1.0,2016-02-01,No information on volumes. Multiple purchases of this item on daily basis.
Services,./greater-manchester.csv,Toxicology test,35.00,1.0,2016-02-01,Information provided for the last purchase made in February 2016.
Services,./greater-manchester.csv,Mobile phone examination,,,,Mobile phone examination is undertaken in-house within the force.
Services,./greater-manchester.csv,Forensic stain analysis,85.54,1.0,2016-02-01,Multiple submissions for testing made daily.
Services,./greater-manchester.csv,Credit report or search,0.90,400.0,2016-02-01,Checks as requested by Force Vetting Unit. No current contract in place with supplier.
Services,./greater-manchester.csv,Temporary staff administrator role,12.54,,2016-02-01,Information provided for the force's minimum pay rate for a B grade. Information on volumes not provided.
Services,./greater-manchester.csv,one-day car hire,21.50,3.0,2016-02-01,Cost of £21.50 per day applies for vehicle hire less than a week long.
Services,./greater-manchester.csv,30-day car hire,14.07,215.0,2016-02-19,Day rate applies for vehicle hires a week long or longer.
Services,./greater-manchester.csv,Ream of 500 sheets of white paper,1.68,200.0,2016-02-26,Item purchased A4 Value Copier Paper White: £8.14 for 2500 sheets purchased force-wide by all divisions/departments.
Services,./greater-manchester.csv,Telephone interpreting inc. recording services (per minute),0.66,10313.0,2016-02-29,Actual rate is £0.011 per second. Information on volumes not provided.
Services,./greater-manchester.csv,Face-to-face interpreting for 4 hours (half-day),124.00,1690.0,2016-02-29,"Estimated volume based on 101,398 minutes."
Services,./greater-manchester.csv,Standard office cleaning (force average per m2 per year),,,,The force uses an in-house cleaning service.
Services,./greater-manchester.csv,"Gas supply to force headquarters (in £, based on cost in p per kWh)",0.0162,296960.0,2016-02-09,Variable rate contract which changes each month. Price quoted for February 2016.
Services,./greater-manchester.csv,Laptop purchase,610.52,2.0,2016-01-19,Add £292.87 for software install.
Services,./greater-manchester.csv,Desktop purchase,386.11,1.0,2015-04-02,"Dell Optiplex 3020 I5 Quad Core @ 3.2ghz, 8gb Ram & 500gb HDD. Add £292.87 costs for software install."
Services,./greater-manchester.csv,"PC monitor - 19"" or smaller (inc. cables)",,,,"The force does not purchase this size of monitors, only 22""."
Services,./greater-manchester.csv,"PC monitor - 21"" or wider (inc. cables)",98.88,15.0,2016-03-06,"Information provided for the purchase of 22"" PC monitors. The force does not purchase different size monitors."
Services,./greater-manchester.csv,Telephone call charges (per minute),,,,All UK calls included in contracts.
Services,./hampshire.csv,DNA test,17.00,1.0,2015-11-15,
Services,./hampshire.csv,Toxicology test,23.33,1.0,2015-11-15,
Services,./hampshire.csv,Mobile phone examination,300.00,1.0,2015-11-22,
Services,./hampshire.csv,Forensic stain analysis,85.54,1.0,2015-10-30,
Services,./hampshire.csv,Credit report or search,5.75,1.0,2015-11-25,
Services,./hampshire.csv,Temporary staff administrator role,10.80,,2015-11-25,
Services,./hampshire.csv,one-day car hire,30.99,1.0,2015-11-23,
Services,./hampshire.csv,30-day car hire,,,,"The force hires vehicles only for short term, such as one or two days. Long term requirements are met by the use of pool cars instead."
