Type,Force,Category,Price per item (GBP),Number of items,Purchase date,Additional information
Equipment,west-mercia,Hi Visibility jacket,69.95,500,11/05/15,Blousons. Joint purchase with Warwickshire. The force will be moving to the Metropolitan Police Service contract when samples are approved to purchase the item at a lower price.
Equipment,west-mercia,Cut resistant gloves,,,,Not bought. The force does not issue cut resistant gloves to patrol officers.
Equipment,west-mercia,Boots,,,,Not bought. The force does not issue boots to patrol officers.
Equipment,west-mercia,Utility belt,4.22,170,22/05/15,Joint purchase with Warwickshire. The force will be moving to the North Wales Police contract to purchase the item at a lower price.
Equipment,west-mercia,General Patrol full body armour,347,33,20/07/15,"Order date as the force is migrating to a new contract led by West Midlands Police as part of a uniform alignment exercise with Warwickshire, via the Metropolitan Police Service national body armour framework agreement. Price includes the vest carrier for body armour plates at å£66.00."
Equipment,west-mercia,General Patrol body armour vest,85.8,5,01/10/14,Carriage system. Joint purchase with Warwickshire via the Gloucestershire framework. The force also purchases the vest carrier for body armour plates at å£66.00 (included in the separate general patrol body armour price).
Equipment,west-mercia,Standard Issue Handcuffs,15.6,100,29/06/15,Joint purchase with Warwickshire under the Metropolitan Police Service national contract.
Equipment,west-mercia,Baton,53.48,750,16/07/15,Joint purchase with Warwickshire under the Metropolitan Police Service national contract.
Equipment,west-mercia,Airwave radio (hand held),390,51,13/02/15,"Joint purchase with Warwickshire via the Metropolitan Police Service national framework. Price exc. extended helical antenna, batteries, click fast stud (å£459 total price)."
Equipment,west-mercia,Airwave radio (vehicle),650,5,21/05/15,Joint purchase with Warwickshire via the Metropolitan Police Service national framework. Price inc. colour console (å£134).
Equipment,west-mercia,Fully kitted general purpose patrol vehicle - standard 5-door hatchback low performance car.,15805.5,88,01/12/14,"Joint order with Warwickshire via the previous national framework - 82 delivered to date. Vauxhall Astra, diesel and low emissions model. The force will be moving to the new vehicle purchase framework in 2015."
Equipment,west-mercia,Compact High performance estate vehicle - fully converted,28028.04,2,14/11/14,Joint purchase with Warwickshire under previous national framework. BMW vehicles. The force will be moving to the new vehicle purchase framework in 2015.
Equipment,west-mercia,Fully kitted cell van,22969.36,36,01/12/14,Joint order with Warwickshire via previous national framework. Vauxhall - only 9 delivered to date. The force will be moving to the new vehicle purchase framework in 2015.
Equipment,essex,Custodian style Police Helmet,28.9,40,09/06/15,The force recycles helmets to keep costs down.
Equipment,essex,Fleece,20.39,80,03/07/15,Exc. badges.
Equipment,essex,Trousers,13.6,2,24/07/15,
Equipment,essex,Shirt,3.99,5,07/07/15,Plain shirts. Logos and numbers etc are stitched in-house.
Equipment,essex,Epaulettes,1.25,400,25/03/15,Plain epaulettes. Logos and numbers etc are stitched in-house.
Equipment,essex,Belt,3.27,20,24/07/15,
Equipment,essex,Anorak/ waterproof jacket,89,30,02/07/15,The force has an outsourced store to manage stock levels.
Equipment,essex,Hi Visibility jacket,87.75,40,09/06/15,The force has an outsourced store to manage stock levels.
Equipment,essex,Cut resistant gloves,34.5,2,28/11/13,The force issues cut resistant gloves which are also spike resistant.
Equipment,essex,Boots,,,,Not bought
Equipment,essex,Utility belt,,,,Not bought
Equipment,essex,General Patrol full body armour,206.85,12,01/07/15,"Female body armours, male body armours å£248.22. The force recycles body armours to keep costs down. Price given does not reflect the kit that is recycled even though this accounts for a significant amount of body armour."
Equipment,essex,General Patrol body armour vest,36.34,12,01/07/15,"Female armour covers, male armour covers å£36.90. The force recycles body armours to keep costs down. Price given does not reflect the kit that is recycled even though this accounts for a significant amount of body armour."
Equipment,essex,Standard Issue Handcuffs,16.95,150,30/06/15,The force recycles handcuffs wherever possible.
Equipment,essex,Baton,25,100,03/07/15,The force has a contract for the refurbishment of batons at this price. No information available on the last new purchase.
Equipment,essex,Airwave radio (hand held),380,400,19/03/15,"All handsets are recycled. The force does not plan to purchase more radios until 2018, except in case of shortage of handsets for a limited time."
Equipment,essex,Airwave radio (vehicle),207,650,13/12/07,
Equipment,essex,Fully kitted general purpose patrol vehicle - standard 5-door hatchback low performance car.,8998.36,4,01/10/11,"Inc. service with legacy equipment as the norm for these vehicles (for re-use on new vehicles). It is important to note that the initial purchase of vehicles represents less than a third of the whole-life cost. Low cost vehicles may reflect higher ownership costs. Fleet managers work together to standardise requirements, benchmark costs and best practice to procure collaboratively where possible. Different operational policing practices or even the type of area being policed (urban/rural) may result in different costs. The type of vehicle must meet operational needs of officer roles to provide for their safe and efficient deployment."
Equipment,essex,Compact High performance estate vehicle - fully converted,25239.9,1,13/03/14,Inc. service with legacy equipment as the norm for internally built vehicles (for re-use on new vehicles). Purchased in collaboration with Kent.
Equipment,essex,Fully kitted cell van,19555.7,3,18/12/13,Most recent purchase from the previous national framework agreement.
Equipment,suffolk,Custodian style Police Helmet,28.9,3,20/03/15,Joint purchase with Norfolk via West Midlands Police national framework.
Equipment,suffolk,Fleece,20.39,200,30/04/15,"Soft shell jackets, not fleece. Joint purchase with Norfolk via West Yorkshire Police national framework. The force plans to adopt a replacement framework."
Equipment,suffolk,Trousers,13.05,40,28/05/15,Joint purchase with Norfolk via Devon & Cornwall contract. The force plans to move to the Yorkshire & Humberside police national framework.
Equipment,suffolk,Shirt,4.99,64,29/07/14,"Joint purchase with Norfolk under a local contract, but the force is moving to the West Yorkshire Police national framework to purchase shirts at a lower price."
Equipment,suffolk,Epaulettes,3.47,200,02/07/15,Price per pair of sliders (not epaulettes) in line with national guidance. Joint purchase with Norfolk.
Equipment,suffolk,Belt,1.25,150,17/11/14,Trouser belts. Joint purchase with Norfolk.
Equipment,suffolk,Anorak/ waterproof jacket,72.95,225,30/04/14,"General issue waterproof blouson to patrol officers. Joint purchase with Norfolk. The force is adopting the Metropolitan Police Service waterproof outerwear national framework to pay for the garments at a lower price. Anoraks are not issued as standard, only to neighbourhood / response officers on request (purchased for å£79.95 but this price will also be lower under the new framework)."
Equipment,suffolk,Hi Visibility jacket,29.95,200,04/07/14,Lightweight packaway jacket. Joint purchase with Norfolk.
Equipment,suffolk,Cut resistant gloves,13.25,24,08/01/15,Joint purchase with Norfolk. The force no longer issues cut resistant gloves to neighbourhood/response officers.
Equipment,suffolk,Boots,,,,Not bought.
Equipment,suffolk,Utility belt,7.31,160,04/09/14,Equipment belts. Joint purchase with Norfolk.
Equipment,suffolk,General Patrol full body armour,302.84,22,21/07/15,Joint purchase with Norfolk via the Metropolitan Police Service national framework.
Equipment,suffolk,General Patrol body armour vest,,,,Not bought.
Equipment,suffolk,Standard Issue Handcuffs,18.35,100,17/06/15,Joint purchase with Norfolk via the Metropolitan Police Service national framework.
Equipment,suffolk,Baton,54.45,150,11/03/14,Joint purchase with Norfolk via the Metropolitan Police Service national framework.
Equipment,suffolk,Airwave radio (hand held),375,1,19/09/10,
Equipment,suffolk,Airwave radio (vehicle),700,4,19/09/10,
Equipment,suffolk,Fully kitted general purpose patrol vehicle - standard 5-door hatchback low performance car.,,,,"Not bought. The force operates intermediate performance estate vehicles for general purpose patrol at a cost of å£15,505."
Equipment,suffolk,Compact High performance estate vehicle - fully converted,,,,"Not bought. The force operates high performance estate vehicles for traffic patrol at a cost of å£34,600."
Equipment,suffolk,Fully kitted cell van,19905,5,16/10/14,"Joint purchase with Norfolk using Kent and Essex contracts. Price inc. base vehicle, conversion, supply and fit of emergency equipment (exc. airwave radio), automatic vehicle location system and satellite navigation."
Equipment,kent,Custodian style Police Helmet,28.9,40,11/05/15,"The force has an outsourced store to manage stock levels. In addition, the force recycles helmets to keep costs down."
Equipment,kent,Fleece,23.6,150,27/04/15,The force has an outsourced store to manage stock levels. Price given inc. Kent crest badge.
Equipment,kent,Trousers,13.8,210,11/05/15,The force has an outsourced store to manage stock levels.
Equipment,kent,Shirt,4.11,805,29/07/15,The force has an outsourced store to manage stock levels.
Equipment,kent,Epaulettes,4,50,30/04/15,The force has an outsourced store to manage stock levels.
Equipment,kent,Belt,7.11,60,30/07/15,The force has an outsourced store to manage stock levels.
Equipment,kent,Anorak/ waterproof jacket,115.5,60,11/03/15,The force has an outsourced store to manage stock levels.
Equipment,kent,Hi Visibility jacket,111.5,60,11/03/15,The force has an outsourced store to manage stock levels.
Equipment,kent,Cut resistant gloves,27.23,55,12/02/15,The force has an outsourced store to manage stock levels.
Equipment,kent,Boots,,,,Not bought.
Equipment,kent,Utility belt,9.73,25,03/08/15,"The force has an outsourced store to manage stock levels. In addition, the force recycles belts wherever possible."
Equipment,kent,General Patrol full body armour,243.6,13,13/05/15,The force recycles body armours to keep costs down. Price given does not reflect the kit that is recycled even though this accounts for a significant amount of body armour.
Equipment,kent,General Patrol body armour vest,59.7,24,29/05/15,The force recycles body armours to keep costs down. Price given does not reflect the kit that is recycled even though this accounts for a significant amount of body armour.
Equipment,kent,Standard Issue Handcuffs,16.95,200,09/12/14,"The force has an outsourced store to manage stock levels. In addition, the force recycles handcuffs wherever possible."
Equipment,kent,Baton,25,60,08/12/14,The force has a contract for the refurbishment of batons at this price. No information available on the last new purchase at this time.
Equipment,kent,Airwave radio (hand held),314.75,500,09/01/14,"All handsets are recycled. The force does not plan to purchase more radios until 2018, except in case of shortage of handsets for a limited time."
Equipment,kent,Airwave radio (vehicle),823,300,08/02/11,
Equipment,kent,Fully kitted general purpose patrol vehicle - standard 5-door hatchback low performance car.,8998.36,22,08/09/14,"Inc. service with legacy equipment as the norm for these vehicles (for re-use on new vehicles). Due to operational changes, purchase volumes are likely to reduce in Kent for a lower number of intermediate response capable vehicles."
Equipment,kent,Compact High performance estate vehicle - fully converted,17252.27,15,15/05/13,Inc. service with legacy equipment as the norm for internally built vehicles (for re-use on new vehicles). Purchased in collaboration with Essex.
Equipment,kent,Fully kitted cell van,19555.7,8,06/12/13,Most recent purchase from the previous national framework agreement.
Equipment,sussex,Custodian style Police Helmet,28.9,85,19/05/15,
Equipment,sussex,Fleece,21.1,11,02/07/15,
Equipment,sussex,Trousers,8.95,530,11/05/15,This was an end of contract order.
Equipment,sussex,Shirt,4.5,799,16/06/15,"Average price given as subject to specifications (male/female, long/short sleeves, colour, length)."
Equipment,sussex,Epaulettes,1.83,700,22/07/15,
Equipment,sussex,Belt,5.1,190,06/05/15,
Equipment,sussex,Anorak/ waterproof jacket,85.75,25,09/03/15,
Equipment,sussex,Hi Visibility jacket,56.44,25,09/03/15,
Equipment,sussex,Cut resistant gloves,,,,Not bought.
Equipment,sussex,Boots,,,,"Not bought. The force does not issue boots to response officers, only to specialist roles."
Equipment,sussex,Utility belt,5.08,100,03/02/15,
Equipment,sussex,General Patrol full body armour,302.84,9,27/05/15,Male armours.
Equipment,sussex,General Patrol body armour vest,56.44,25,08/06/15,
Equipment,sussex,Standard Issue Handcuffs,25.5,150,25/11/14,This item is being considered for review.
Equipment,sussex,Baton,64.05,101,09/02/15,
Equipment,sussex,Airwave radio (hand held),350,,,The force has not purchased this type of radio for over three years.
Equipment,sussex,Airwave radio (vehicle),725,50,01/07/15,
Equipment,sussex,Fully kitted general purpose patrol vehicle - standard 5-door hatchback low performance car.,14534.95,38,,Purchased in May-July 2015.
Equipment,sussex,Compact High performance estate vehicle - fully converted,32747.44,10,01/06/15,"Purchased in May-July 2015, but vehicle conversion is normally carried out in-house."
Equipment,sussex,Fully kitted cell van,,,,Information is not available at this time.
Equipment,leicestershire,Custodian style Police Helmet,28.9,30,18/06/15,Purchased via West Midlands Police framework.
Equipment,leicestershire,Fleece,37.95,131,25/03/15,Date of order.
Equipment,leicestershire,Trousers,8.95,1000,22/09/14,"Male/female trousers. Orders placed prior to expiry of the Greater Manchester Police framework, which requires the force to order a minimum of 1,000 pairs. The force has set up an informal stock holding arrangement with the supplier due to the high quantity."
Equipment,leicestershire,Shirt,3.99,50,25/11/15,"Regular length male short-sleeved shirts, regular length male long-sleeved shirts å£4.56. Long length male short-sleeved shirts ordered for larger chest sizes cost å£4.29 each, å£5.06 with long sleeves. Regular length female short-sleeved shirts å£3.86, å£4.26 with long sleeves. Long length female short-sleeved shirts cost å£4.26, å£4.36 with long sleeves."
Equipment,leicestershire,Epaulettes,2.8,10,30/07/15,Pair of epaulettes embroidered with collar number and name purchased via the force's own contract.
Equipment,leicestershire,Belt,3.27,205,01/05/15,
Equipment,leicestershire,Anorak/ waterproof jacket,69.95,40,25/06/15,High visibility blouson jackets.
Equipment,leicestershire,Hi Visibility jacket,95,18,27/04/15,High visibility traffic coats.
Equipment,leicestershire,Cut resistant gloves,12.75,80,25/03/15,Standard gloves only. The force does not issue cut resistant gloves.
Equipment,leicestershire,Boots,,,,Not bought
Equipment,leicestershire,Utility belt,6.95,55,08/07/15,
Equipment,leicestershire,General Patrol full body armour,313.57,6,17/06/15,Purchased with West Midlands Police via the Metropolitan Police Service framework.
Equipment,leicestershire,General Patrol body armour vest,45.48,1,17/06/15,Replacement body armour cover purchased with West Midlands police via the Metropolitan Police Service framework.
Equipment,leicestershire,Standard Issue Handcuffs,16.95,150,25/03/15,
Equipment,leicestershire,Baton,56,100,14/11/12,"Last order date for 26"" batons. The force uses existing stocks and re-uses batons returned by departed officers."
Equipment,leicestershire,Airwave radio (hand held),350,60,23/07/15,Handsets purchased via the Metropolitan Police Service framework.
Equipment,leicestershire,Airwave radio (vehicle),1100,411,30/06/05,Purchased via the Metropolitan Police Service framework. Price inc. installation.
Equipment,leicestershire,Fully kitted general purpose patrol vehicle - standard 5-door hatchback low performance car.,,,,"Not bought. The force last purchased a Vauxhall Astra for patrol at a total cost of å£14,324.49 in June 2015."
Equipment,leicestershire,Compact High performance estate vehicle - fully converted,,,,"Not bought. The force last purchased a BMW at å£28,715.11 in 2014, which is being commissioned."
Equipment,leicestershire,Fully kitted cell van,,,,"Not bought. The force last purchased two Peugeot Expert vans at å£18,766 in February 2013."
Equipment,devon-and-cornwall,Custodian style Police Helmet,28.9,76,30/03/15,"Exc. helmet plate (crest), purchased via the West Yorkshire national framework, å£33.50 if inc. crest. Regional specification."
Equipment,devon-and-cornwall,Fleece,21.1,50,16/06/15,Regional specification.
Equipment,devon-and-cornwall,Trousers,13.57,390,17/06/15,"Regional specification male trousers, female trousers å£14.88 on 05/06/15."
Equipment,devon-and-cornwall,Shirt,4.05,2016,07/07/15,"Male short-sleeved wicking shirts, female short-sleeved shirts å£3.75 on 07/07/2015. Male long-sleeved shirts å£4.60 and female long-sleeved shirts å£4.31 on 07/07/2015. Regional specification."
Equipment,devon-and-cornwall,Epaulettes,3.25,36,19/06/15,Regional specification. Sliders å£2.95 on 19/06/2015.
Equipment,devon-and-cornwall,Belt,3.27,95,21/04/15,Leather belts.
Equipment,devon-and-cornwall,Anorak/ waterproof jacket,87,85,13/04/15,Regional specification.
Equipment,devon-and-cornwall,Hi Visibility jacket,95,90,28/05/15,Regional specification. The force most commonly issues high visibility jackets at å£10.95 on 12/05/2015.
Equipment,devon-and-cornwall,Cut resistant gloves,12.95,130,26/05/15,Regional specification.
Equipment,devon-and-cornwall,Boots,,,,Not bought. The force does not issue boots to patrol officers.
Equipment,devon-and-cornwall,Utility belt,4.22,30,13/02/15,Leather belts.
Equipment,devon-and-cornwall,General Patrol full body armour,257.9,15,14/07/15,"Male armours, female armours å£224.03. Regional specification."
Equipment,devon-and-cornwall,General Patrol body armour vest,44,65,15/06/15,Regional specification.
Equipment,devon-and-cornwall,Standard Issue Handcuffs,16.95,150,17/07/15,Regional specification.
Equipment,devon-and-cornwall,Baton,30,300,22/05/15,Regional specification.
Equipment,devon-and-cornwall,Airwave radio (hand held),,,,"No purchases have been made in the past three years as radios have been recycled / redistributed, negating the need to purchase new."
Equipment,devon-and-cornwall,Airwave radio (vehicle),,,,"No purchases have been made in the past three years as radios have been recycled / redistributed, negating the need to purchase new."
Equipment,devon-and-cornwall,Fully kitted general purpose patrol vehicle - standard 5-door hatchback low performance car.,15489.21,4,01/12/14,"Inc. commissioning, delivery and registration."
Equipment,devon-and-cornwall,Compact High performance estate vehicle - fully converted,29191,1,01/10/13,Volvo inc. conversion costs.
Equipment,devon-and-cornwall,Fully kitted cell van,26496.36,6,01/07/14,Ford transit inc. CCTV option.
Equipment,gwent,Custodian style Police Helmet,28.9,40,01/07/14,
Equipment,gwent,Fleece,21.1,116,10/06/15,
Equipment,gwent,Trousers,14.1,400,09/06/15,"Female trousers, male trousers å£14.62."
Equipment,gwent,Shirt,4.05,2500,14/08/13,"Male and female short-sleeved shirts, male and female long-sleeved shirts å£4.70."
Equipment,gwent,Epaulettes,2.1,500,16/01/15,Price per pair.
Equipment,gwent,Belt,3.27,160,29/08/14,
Equipment,gwent,Anorak/ waterproof jacket,94.2,122,05/03/15,High visibility jacket with additional zips. This garment is under review.
Equipment,gwent,Hi Visibility jacket,,,,Not bought. The force issues high visibility body armour covers inc. appointment pockets and click fast points. This garment is not needed.
Equipment,gwent,Cut resistant gloves,,,,Not bought. The force does not issue cut resistant gloves.
Equipment,gwent,Boots,,,,"Not bought. The force no longer issues standard officer boots, only for specialist roles."
Equipment,gwent,Utility belt,5.08,120,24/04/14,
Equipment,gwent,General Patrol full body armour,190.24,15,23/04/15,"Female armours, male armours å£223.59."
Equipment,gwent,General Patrol body armour vest,69.5,47,23/07/15,High visibility body armour covers inc. appointment pockets and click fast points. No high visibility jacket needed to purchase.
Equipment,gwent,Standard Issue Handcuffs,18.35,200,27/02/15,Joint purchase with Dyfed-Powys and South Wales under national contract. Price based on 100-249 order volumes.
Equipment,gwent,Baton,,,,Not purchased since 2011. Records not accessible. The force operates a baton recycling policy and stocks of new and recycled batons.
Equipment,gwent,Airwave radio (hand held),290,2100,06/03/14,"Exc. antenna, battery. Inc. colour display."
Equipment,gwent,Airwave radio (vehicle),,,,Not purchased since 2004. Records not accessible.
Equipment,gwent,Fully kitted general purpose patrol vehicle - standard 5-door hatchback low performance car.,11274,,03/09/13,Not bought. Price for Ford Focus Estate vehicle inc. conversion and livery.
Equipment,gwent,Compact High performance estate vehicle - fully converted,31024,1,30/04/14,BMW vehicle. Inc. conversion and livery.
Equipment,gwent,Fully kitted cell van,22806,,26/01/14,Not bought. Price for Ford Transit van inc. conversion and livery.
Equipment,norfolk,Custodian style Police Helmet,28.9,3,20/03/15,Joint purchase with Suffolk via West Midlands Police national framework.
Equipment,norfolk,Fleece,20.39,200,30/04/15,"Soft shell jackets, not fleece. Joint purchase with Suffolk via West Yorkshire Police national framework. The force plans to adopt a replacement framework."
Equipment,norfolk,Trousers,13.05,40,28/05/15,Joint purchase with Suffolk via Devon & Cornwall contract. The force plans to move to the Yorkshire & Humberside police national framework.
Equipment,norfolk,Shirt,4.99,64,29/07/14,"Joint purchase with Suffolk under a local contract, but the force is moving to the West Yorkshire Police national framework to purchase shirts at a lower price."
Equipment,norfolk,Epaulettes,3.47,200,02/07/15,Price per pair of sliders (not epaulettes) in line with national guidance. Joint purchase with Suffolk.
Equipment,norfolk,Belt,1.25,150,17/11/14,Trouser belts. Joint purchase with Suffolk.
Equipment,norfolk,Anorak/ waterproof jacket,72.95,225,30/04/14,"General issue waterproof blouson to patrol officers. Joint purchase with Suffolk. The force is adopting the Metropolitan Police Service waterproof outerwear national framework to pay for the garments at a lower price. Anoraks are not issued as standard, only to neighbourhood / response officers on request (purchased for å£79.95 but this price will also be lower under the new framework)."
Equipment,norfolk,Hi Visibility jacket,29.95,200,04/07/14,Lightweight packaway jacket. Joint purchase with Suffolk.
Equipment,norfolk,Cut resistant gloves,13.25,24,08/01/15,Joint purchase with Suffolk. The force no longer issues cut resistant gloves to neighbourhood/response officers.
Equipment,norfolk,Boots,,,,Not bought.
Equipment,norfolk,Utility belt,7.31,160,04/09/14,Equipment belts. Joint purchase with Suffolk.
Equipment,norfolk,General Patrol full body armour,302.84,22,21/07/15,Joint purchase with Suffolk via the Metropolitan Police Service national framework.
Equipment,norfolk,General Patrol body armour vest,,,,Not bought.
Equipment,norfolk,Standard Issue Handcuffs,18.35,100,17/06/15,Joint purchase with Suffolk via the Metropolitan Police Service national framework.
Equipment,norfolk,Baton,54.45,150,11/03/14,Joint purchase with Suffolk via the Metropolitan Police Service national framework.
Equipment,norfolk,Airwave radio (hand held),375,1,19/09/10,
Equipment,norfolk,Airwave radio (vehicle),700,4,19/09/10,
Equipment,norfolk,Fully kitted general purpose patrol vehicle - standard 5-door hatchback low performance car.,,,,"Not bought. The force operates intermediate performance estate vehicles for general purpose patrol at a cost of å£15,505."
Equipment,norfolk,Compact High performance estate vehicle - fully converted,,,,"Not bought. The force operates high performance estate vehicles for traffic patrol at a cost of å£34,600."
Equipment,norfolk,Fully kitted cell van,19905,4,16/10/14,"Joint purchase with Suffolk using Kent and Essex contracts. Price inc. base vehicle, conversion, supply and fit of emergency equipment (exc. airwave radio), automatic vehicle location system and satellite navigation."
Equipment,greater-manchester,Custodian style Police Helmet,28.9,27,09/07/15,
Equipment,greater-manchester,Fleece,32.54,35,09/07/15,
Equipment,greater-manchester,Trousers,8.95,3875,30/06/15,
Equipment,greater-manchester,Shirt,4.75,1302,07/07/15,"Short-sleeved shirts, long-sleeved shirts å£5.25."
Equipment,greater-manchester,Epaulettes,2.1,750,21/05/15,
Equipment,greater-manchester,Belt,3.27,201,09/07/15,
Equipment,greater-manchester,Anorak/ waterproof jacket,67.71,20,08/07/15,
Equipment,greater-manchester,Hi Visibility jacket,38.56,50,09/07/15,
Equipment,greater-manchester,Cut resistant gloves,12.95,170,09/07/15,
Equipment,greater-manchester,Boots,,,,Not bought. The force does not issue boots.
Equipment,greater-manchester,Utility belt,4.25,55,09/07/15,
Equipment,greater-manchester,General Patrol full body armour,222,38,09/07/15,Same price for male and female body armours.
Equipment,greater-manchester,General Patrol body armour vest,57.6,53,09/07/15,
Equipment,greater-manchester,Standard Issue Handcuffs,18.35,175,09/07/15,
Equipment,greater-manchester,Baton,55.91,75,09/07/15,
Equipment,greater-manchester,Airwave radio (hand held),413.25,51,27/03/14,Inc. aerial and battery
Equipment,greater-manchester,Airwave radio (vehicle),765.15,13,27/02/15,Inc. installation kit
Equipment,greater-manchester,Fully kitted general purpose patrol vehicle - standard 5-door hatchback low performance car.,11471.21,54,22/07/14,"Hyundai for divisional use, not fully converted but commissioning inc. radio."
Equipment,greater-manchester,Compact High performance estate vehicle - fully converted,28781.12,2,05/08/14,"Date of order, not purchase. BMW for traffic use, not fully converted but commissioning inc. radio."
Equipment,greater-manchester,Fully kitted cell van,20058.69,14,07/08/14,"Date of order, not purchase. Vauxhall Vivaro converted cell van inc. radio."
Equipment,hampshire,Custodian style Police Helmet,33.5,64,23/10/14,
Equipment,hampshire,Fleece,20.39,20,05/06/15,
Equipment,hampshire,Trousers,15.96,230,15/01/15,
Equipment,hampshire,Shirt,3.99,290,02/12/14,
Equipment,hampshire,Epaulettes,3.85,11,14/05/15,
Equipment,hampshire,Belt,4.15,100,26/02/15,Leather belt.
Equipment,hampshire,Anorak/ waterproof jacket,75.7,25,24/07/15,
Equipment,hampshire,Hi Visibility jacket,28.69,50,11/06/15,
Equipment,hampshire,Cut resistant gloves,,,,Not bought. The force does not issue gloves.
Equipment,hampshire,Boots,75.8,6,10/07/15,Peacekeeper general duty boots purchased under the North Wales national contract. Peacekeeper public order boots å£73.60.
Equipment,hampshire,Utility belt,4.43,110,05/05/15,
Equipment,hampshire,General Patrol full body armour,256.59,1,02/06/15,Black overt cover male armour sets inc. carry bag (å£10). Female armours purchased at å£235.79 plus carry bag at å£10. Add an extra å£4.12 to male armours and å£3.97 to female armours for high visibility (yellow) overt cover (issued to tactical pedal cyclists).
Equipment,hampshire,General Patrol body armour vest,35.94,7,27/04/15,
Equipment,hampshire,Standard Issue Handcuffs,19,200,05/06/15,
Equipment,hampshire,Baton,60.82,200,08/06/15,
Equipment,hampshire,Airwave radio (hand held),280,,,Most recent purchase was in 2011. More detailed information is not available at this time.
Equipment,hampshire,Airwave radio (vehicle),430,800,,Purchased via national framework in 2007 - date of purchase not available at the time of publication.
Equipment,hampshire,Fully kitted general purpose patrol vehicle - standard 5-door hatchback low performance car.,10029.25,13,26/07/12,Purchased via East / South East Region tender.
Equipment,hampshire,Compact High performance estate vehicle - fully converted,,,,The force does not operate compact high-performance cars.
Equipment,hampshire,Fully kitted cell van,20669.78,8,26/07/12,Purchased via national framework.
Equipment,hertfordshire,Custodian style Police Helmet,28.9,30,14/05/13,Joint purchase with Bedfordshire and Cambridgeshire. Exc. å£8.50 helmet plate. All uniform purchases are made by the central stores located at and operated by Cambridgeshire Police.
Equipment,hertfordshire,Fleece,32.95,38,22/07/15,Joint purchase with Bedfordshire and Cambridgeshire. All uniform purchases are made by the central stores located at and operated by Cambridgeshire Police.
Equipment,hertfordshire,Trousers,9.67,270,28/07/15,Joint purchase with Bedfordshire and Cambridgeshire. All uniform purchases are made by the central stores located at and operated by Cambridgeshire Police.
